feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_molp,CD1b_molp,CD1c_molp,CD1d_molp
PC 14:0;0_19:1;0,PC,GPL,MEM,33,1,0,0.00308540900603567,0.005509999,NA,0.004186696
PC 15:0;0_18:1;0,PC,GPL,MEM,33,1,0,0.601130345758874,0.952248216,1.20616080470938,1.353280729
PC 15:1;0_18:0;0,PC,GPL,MEM,33,1,0,NA,NA,NA,NA
PC 16:0;0_17:1;0,PC,GPL,MEM,33,1,0,0.172701703449447,0.403755486,0.531881643980112,0.431823411
PC 16:1;0_17:0;0,PC,GPL,MEM,33,1,0,0.116313577364683,0.299733615,0.323322910477081,0.410939479
PC 15:0;0_18:2;0,PC,GPL,MEM,33,2,0,0.0241735229017479,0.005611735,0.0356370066280196,0.005735965
PC 15:1;0_18:1;0,PC,GPL,MEM,33,2,0,NA,0.202438401,NA,0.188950559
PC 16:0;0_17:2;0,PC,GPL,MEM,33,2,0,NA,0.018450765,NA,0.010667197
PC 16:1;0_17:1;0,PC,GPL,MEM,33,2,0,0.328372674620671,0.085687849,0.471569222071335,0.069568937
PC 16:2;0_17:1;0,PC,GPL,MEM,33,3,0,0.0431271017040048,NA,NA,0.052781169
PC 15:0;0_19:0;0,PC,GPL,MEM,34,0,0,NA,NA,NA,0.011142793
PC 14:0;0_20:1;0,PC,GPL,MEM,34,1,0,0.0345577694591578,0.01658122,0.0712256432063099,0.026514943
PC 15:0;0_19:1;0,PC,GPL,MEM,34,1,0,NA,0.019668172,0.0150131104578097,0.021659892
PC 16:0;0_18:1;0,PC,GPL,MEM,34,1,0,7.62450283978333,4.808048809,12.9299546177139,6.5814139
PC 16:1;0_18:0;0,PC,GPL,MEM,34,1,0,0.55110627238605,0.597546981,1.0780367675535,0.646489432
PC 17:0;0_17:1;0,PC,GPL,MEM,34,1,0,0.0282399844450563,0.09173672,0.0619569916798975,0.081242445
PC 14:0;0_20:2;0,PC,GPL,MEM,34,2,0,0.00536950298763985,NA,0.00944863269099802,0.005485501
PC 14:1;0_20:1;0,PC,GPL,MEM,34,2,0,NA,NA,NA,NA
PC 16:0;0_18:2;0,PC,GPL,MEM,34,2,0,0.0874615428537605,0.110644697,0.136319434995092,0.112475548
PC 16:1;0_18:1;0,PC,GPL,MEM,34,2,0,2.40196736562487,2.744444398,2.49486928308859,3.252748804
PC 16:2;0_18:0;0,PC,GPL,MEM,34,2,0,0.00896680650535472,NA,NA,0.006958405
PC 17:1;0_17:1;0,PC,GPL,MEM,34,2,0,0.0102815906855373,0.036704373,0.0172268165019002,0.030049718
PC 14:0;0_20:3;0,PC,GPL,MEM,34,3,0,NA,NA,NA,NA
PC 16:0;0_18:3;0,PC,GPL,MEM,34,3,0,NA,NA,0.00502760954975018,0.006352266
PC 16:1;0_18:2;0,PC,GPL,MEM,34,3,0,0.0217624281652028,0.047099455,0.0218058975416014,0.038342127
PC 16:2;0_18:1;0,PC,GPL,MEM,34,3,0,0.033699026709246,0.085380927,0.0194358962213108,0.044306527
PC 15:0;0_20:0;0,PC,GPL,MEM,35,0,0,NA,0.00149441,0.001728468467184,NA
PC 16:0;0_19:0;0,PC,GPL,MEM,35,0,0,0.00760160974058998,0.008991021,0.00845467465580031,0.006821955
PC 17:0;0_18:0;0,PC,GPL,MEM,35,0,0,0.0251188554257377,NA,0.0279954983047876,0.032521471
PC 13:0;0_22:1;0,PC,GPL,MEM,35,1,0,NA,NA,NA,NA
PC 14:0;0_21:1;0,PC,GPL,MEM,35,1,0,NA,NA,NA,NA
PC 15:0;0_20:1;0,PC,GPL,MEM,35,1,0,0.0602929183984359,0.085866574,0.0622682740477345,0.131083255
PC 16:0;0_19:1;0,PC,GPL,MEM,35,1,0,0.0430092308213007,0.060486593,0.0612533195013001,0.034879713
PC 16:1;0_19:0;0,PC,GPL,MEM,35,1,0,0.0183592976740636,0.028022613,0.0277568961681544,0.036128326
PC 17:0;0_18:1;0,PC,GPL,MEM,35,1,0,0.745969310724476,0.67388698,0.802409491474665,1.079382121
PC 17:1;0_18:0;0,PC,GPL,MEM,35,1,0,0.0581309763735118,0.096983678,0.0826163250501679,0.078043162
PC 15:0;0_20:2;0,PC,GPL,MEM,35,2,0,0.00699898156701819,NA,0.00783361477936206,0.009770004
PC 16:0;0_19:2;0,PC,GPL,MEM,35,2,0,0.00584153259929312,NA,NA,0.007687937
PC 16:1;0_19:1;0,PC,GPL,MEM,35,2,0,0.0366931213430357,0.044126743,0.0389592202943348,0.044953996
PC 17:0;0_18:2;0,PC,GPL,MEM,35,2,0,0.0102560387640336,0.025291278,0.0105805766333686,0.021769203
PC 17:1;0_18:1;0,PC,GPL,MEM,35,2,0,0.546666192989334,0.619498484,0.406172962515942,0.585469609
PC 17:1;0_18:2;0,PC,GPL,MEM,35,3,0,0.0168477259388103,NA,NA,0.013392984
PC 14:0;0_22:1;0,PC,GPL,MEM,36,1,0,0.0176875862789038,NA,0.00906317342749967,0.012565016
PC 15:0;0_21:1;0,PC,GPL,MEM,36,1,0,NA,NA,NA,0.005024629
PC 16:0;0_20:1;0,PC,GPL,MEM,36,1,0,0.249822126812872,0.071897582,0.149111215285337,0.083391297
PC 16:1;0_20:0;0,PC,GPL,MEM,36,1,0,0.0428071143164041,0.022353312,0.0539504611245593,0.035759523
PC 17:0;0_19:1;0,PC,GPL,MEM,36,1,0,0.0081620838033102,0.014972796,NA,0.011343612
PC 17:1;0_19:0;0,PC,GPL,MEM,36,1,0,NA,0.005909743,NA,0.003930956
PC 18:0;0_18:1;0,PC,GPL,MEM,36,1,0,1.83875648959553,0.771361193,1.50107983980398,0.83934779
PC 16:0;0_20:2;0,PC,GPL,MEM,36,2,0,0.0867693840610181,0.049761957,0.048131319456203,0.034542263
PC 16:1;0_20:1;0,PC,GPL,MEM,36,2,0,0.329488831885696,0.206850036,0.345619953844293,0.363139169
PC 17:1;0_19:1;0,PC,GPL,MEM,36,2,0,NA,NA,NA,0.012217641
PC 18:0;0_18:2;0,PC,GPL,MEM,36,2,0,0.0453662489040382,0.034609511,0.0306200353900939,0.027254509
PC 18:1;0_18:1;0,PC,GPL,MEM,36,2,0,6.1744940204886,4.117890616,3.89421610908425,5.805554716
PC 16:0;0_20:3;0,PC,GPL,MEM,36,3,0,0.0254868899355634,0.029623142,0.012682542409332,0.020106019
PC 16:1;0_20:2;0,PC,GPL,MEM,36,3,0,0.022173587078294,0.019682649,0.0177132644847687,0.027870208
PC 16:2;0_20:1;0,PC,GPL,MEM,36,3,0,NA,NA,NA,0.00236909
PC 17:0;0_19:3;0,PC,GPL,MEM,36,3,0,NA,NA,NA,NA
PC 18:0;0_18:3;0,PC,GPL,MEM,36,3,0,0.00403421646881473,NA,NA,NA
PC 18:1;0_18:2;0,PC,GPL,MEM,36,3,0,0.173055883488868,0.127137875,0.0875364340119446,0.17088829
PC 16:1;0_20:3;0,PC,GPL,MEM,36,4,0,0.00273040368530114,NA,NA,NA
PC 18:1;0_18:3;0,PC,GPL,MEM,36,4,0,0.0138454760538874,NA,NA,NA
PC 13:0;0_24:1;0,PC,GPL,MEM,37,1,0,0.00350893731603614,NA,NA,0.005448984
PC 15:0;0_22:1;0,PC,GPL,MEM,37,1,0,0.0319791943937281,0.01028858,0.0109773469254685,0.057780383
PC 16:0;0_21:1;0,PC,GPL,MEM,37,1,0,0.0104109832079489,NA,NA,0.011770318
PC 16:1;0_21:0;0,PC,GPL,MEM,37,1,0,NA,NA,NA,0.013874416
PC 17:0;0_20:1;0,PC,GPL,MEM,37,1,0,0.0652299686501045,0.028183839,0.0302032668597156,0.051693795
PC 17:1;0_20:0;0,PC,GPL,MEM,37,1,0,0.00517217967399194,NA,NA,NA
PC 18:0;0_19:1;0,PC,GPL,MEM,37,1,0,0.0107005938500657,0.020311358,0.0133079142289664,0.006655749
PC 18:1;0_19:0;0,PC,GPL,MEM,37,1,0,0.106862479069076,0.03940373,0.0543564810860998,0.076971742
PC 15:0;0_22:2;0,PC,GPL,MEM,37,2,0,0.00530605272307546,NA,NA,0.010317275
