feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,CD1a-100-a,CD1a-100-b,CD1a-150-a,CD1a-150-b,CD1a-20-a,CD1a-20-b,CD1a-50-a,CD1a-50-b,CD1a-75-a,CD1a-75-b,CD1c-100-a,CD1c-100-b,CD1c-150-a,CD1c-150-b,CD1c-20-a,CD1c-20-b,CD1c-50-a,CD1c-50-b,CD1c-75-a,CD1c-75-b
,,,,,,,shortname,CD1aBa,CD1aBb,CD1aAa,CD1aAb,CD1aEa,CD1aEb,CD1aDa,CD1aDb,CD1aCa,CD1aCb,CD1cBa,CD1cBb,CD1cAa,CD1cAb,CD1cEa,CD1cEb,CD1cDa,CD1cDb,CD1cCa,CD1cCb
,,,,,,,cohort,CD1a-100,CD1a-100,CD1a-150,CD1a-150,CD1a-20,CD1a-20,CD1a-50,CD1a-50,CD1a-75,CD1a-75,CD1c-100,CD1c-100,CD1c-150,CD1c-150,CD1c-20,CD1c-20,CD1c-50,CD1c-50,CD1c-75,CD1c-75
DAG 16:1;0_19:1;0,DAG,GL,MEM,35,2,0,,0.00434737806975467,0.00431610764356349,0.005101768543637,0.0035141603993679,NA,NA,0.00537960817138226,0.00550555794702883,0.00433749759424122,0.00551531240890299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 17:0;0_18:2;0,DAG,GL,MEM,35,2,0,,NA,0.00153312083698897,0.00216273484106601,0.00137349932929105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 17:1;0_18:1;0,DAG,GL,MEM,35,2,0,,0.0801268721306505,0.0907097051521126,0.0904948540830703,0.0797927310213674,0.106058625674212,0.160701387119458,0.0811612455202901,0.0992466624602723,0.0799215039601802,0.0993471921387666,NA,NA,NA,NA,0.0678727625717958,NA,NA,NA,NA,NA
DAG 17:0;0_19:0;0,DAG,GL,MEM,36,0,0,,NA,NA,NA,NA,NA,NA,NA,0.00706720437878678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 16:0;0_20:1;0,DAG,GL,MEM,36,1,0,,0.4397965906468,0.0787365536314753,0.0686681788414477,0.0705858380602017,0.63293804562169,0.935700298522236,0.0791393412995895,0.0756193295556494,0.0704128873637861,0.080465386650739,0.0214049900548454,0.0193321777944586,NA,NA,0.0433415823417769,0.0212227379301591,0.0173754419164711,0.017098963084082,NA,0.0219003329679328
DAG 18:0;0_18:1;0,DAG,GL,MEM,36,1,0,,NA,0.399251983906432,0.352517140694275,0.418170313197736,NA,NA,0.428453961471599,0.43302772651566,0.386734047206947,0.439516309874133,0.4116831741101,0.403572313338888,0.391198915819955,0.392867591360232,0.763892475141057,0.465476228121315,0.550241767571019,0.415078727374548,0.404873609266882,0.414137679428772
DAG 16:0;0_20:2;0,DAG,GL,MEM,36,2,0,,0.0248790123553106,0.0227020785297339,0.0259498918986487,0.0235342223253388,0.0218671331930656,0.0213350026449198,0.0219278461804209,0.0242083494905889,0.0227796604931798,0.0199478090625994,0.0178125334731506,0.0151660756905341,0.0149517420001873,0.0145725233550695,0.0233187160286386,0.00942495020040927,0.017451391370932,0.0156273929023081,0.0152495893112723,0.0181047139565997
DAG 16:1;0_20:1;0,DAG,GL,MEM,36,2,0,,0.0417397973428822,0.046659197314914,0.0464544841235362,0.0459999297508703,0.0408759989763777,0.0429522572365992,0.0411241046573522,0.0500566785965364,0.0423747554527636,0.0450606645512679,0.0106876107506342,0.00925729025191053,0.00887888031971796,0.010193282756346,0.0132219898970025,0.0129300872121343,0.0121372104371159,0.0118100323674888,0.0116935124491746,0.01130199410752
DAG 18:0;0_18:2;0,DAG,GL,MEM,36,2,0,,0.0206730220980675,0.0233060106115318,0.0248616566791507,0.0218834167589633,0.0146409256425863,0.0166514496710445,0.0189876578567209,0.0237830949836491,0.0209440843359596,0.0228270309170817,0.0319800604392146,0.0311012172650566,0.0259355248063177,0.0280818511402455,0.0352665532279481,0.0293080897295477,0.0307822882568796,0.031379611549852,0.0313590732822334,0.0333790834695595
DAG 18:1;0_18:1;0,DAG,GL,MEM,36,2,0,,1.57544168831396,1.63864274247288,1.63090829892375,1.5927403758147,1.54353933674137,1.59157405766263,1.57495091561988,1.70093440916725,1.58630030981105,1.65258160733763,0.565317871992005,0.521788490139032,0.497699585919762,0.496367104770413,0.602124484445059,0.531244065822143,0.566752069759173,0.536817837688421,0.555696010857398,0.591974009099747
DAG 16:0;0_20:3;0,DAG,GL,MEM,36,3,0,,0.0114708610502916,0.0117090083646366,0.0127133332712894,0.0125532843988159,NA,NA,NA,0.0146929626173902,0.0130408669365114,0.0123176515342743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 16:1;0_20:2;0,DAG,GL,MEM,36,3,0,,0.00763486642070809,0.00807958525256365,0.00778846461799827,0.00932032422490304,NA,NA,0.0119510876448577,0.0126584545442196,0.00849453613459769,0.00975150805513615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 16:2;0_20:1;0,DAG,GL,MEM,36,3,0,,0.00249737102340467,NA,NA,0.00324770306462626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:1;0_18:2;0,DAG,GL,MEM,36,3,0,,0.0660164266500758,0.0661181909486711,0.0684517603462408,0.076695683578698,0.165760106265415,0.159793926019675,0.0925538911937129,0.0899055942830978,0.0710234327382732,0.077750636848768,NA,NA,NA,NA,0.084539659816537,NA,NA,NA,NA,NA
DAG 17:0;0_20:1;0,DAG,GL,MEM,37,1,0,,0.0123139002016768,0.0096700053437657,0.0116615243074252,0.00865070941893544,0.0168529826750686,0.0612657121835071,0.0124645795299294,0.0223130695746058,0.0135122188305977,0.0150473991027289,NA,NA,NA,NA,0.0300674946849253,NA,0.0268862250375437,NA,NA,NA
DAG 18:0;0_19:1;0,DAG,GL,MEM,37,1,0,,0.00460718845230211,0.00499047386481237,NA,0.00298695965726981,NA,NA,NA,NA,0.00488263713214873,0.00488525779289513,NA,NA,NA,NA,NA,NA,0.0291562139288723,NA,NA,NA
DAG 18:1;0_19:0;0,DAG,GL,MEM,37,1,0,,0.0305421291433537,0.031448035842949,0.0327265446443283,0.024338402591225,0.089262523463882,0.124768307930297,0.045839467450663,0.069073638561502,0.039409934454562,0.0367711259427658,NA,NA,NA,NA,0.0815746602803427,NA,NA,NA,NA,NA
DAG 17:0;0_20:2;0,DAG,GL,MEM,37,2,0,,0.00440636715474568,0.00366111881654015,0.00343924108541104,0.00292035467963527,NA,NA,NA,0.00321007412552378,0.00288983945564078,0.00359758425458146,NA,NA,NA,NA,NA,NA,0.0173018461344539,NA,NA,NA
DAG 17:1;0_20:1;0,DAG,GL,MEM,37,2,0,,0.0107780722342125,0.0109769519924906,0.00873798664753106,0.0104357421304302,0.0169773588482833,NA,NA,0.0152188009940941,0.0118401090722893,0.0156154840021986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:0;0_19:2;0,DAG,GL,MEM,37,2,0,,NA,NA,0.00290164947463976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:1;0_19:1;0,DAG,GL,MEM,37,2,0,,0.047387787870216,0.0410116879988535,0.0361976049277755,0.0371528091303364,0.0679709149619823,0.158542943828366,0.0706480356340438,0.0592980006697734,0.0445275479863348,0.0536630550810596,NA,NA,NA,NA,NA,NA,0.0452712763840148,NA,NA,NA
DAG 16:0;0_22:1;0,DAG,GL,MEM,38,1,0,,0.0308635416048143,0.0382007075954957,0.02798993536172,0.0245270160857892,NA,NA,NA,NA,0.0370878830142136,0.0522171014480229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 16:1;0_22:0;0,DAG,GL,MEM,38,1,0,,NA,NA,0.00498061052067536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:0;0_20:1;0,DAG,GL,MEM,38,1,0,,0.0525839935612969,0.0526600235354281,0.0477430431045003,0.0535001323311088,0.332383605021384,0.638569510998084,0.137956225706955,0.152025485449425,0.0623985174879219,0.0853326851761042,0.0781595023823435,0.0665554412247205,NA,NA,0.514234821602779,0.148828806299733,0.224936865294944,0.0503447873605787,0.0481931869271067,0.0603558973407399
DAG 16:0;0_22:2;0,DAG,GL,MEM,38,2,0,,NA,NA,NA,0.00221014134926368,NA,NA,NA,NA,NA,NA,NA,0.00255645007581466,NA,0.00158884017584841,NA,NA,NA,NA,NA,NA
DAG 16:1;0_22:1;0,DAG,GL,MEM,38,2,0,,0.00266613329127485,0.00564775535031434,0.00454706029541232,0.00442614707121049,NA,NA,NA,NA,0.00461024753947453,0.00709384725394114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:0;0_20:2;0,DAG,GL,MEM,38,2,0,,0.0419640454318126,0.0368714665333311,0.042576729470816,0.0361632802573963,0.0371926583527942,0.0832688216896313,0.0306021063310989,0.0327700958820785,0.0364484933148458,0.0450029473231144,0.0837301623341823,0.0799050274369394,0.0653862589462945,0.0685931576006659,0.114765522567838,0.0818753418374924,0.195268599428816,0.0672074070396223,0.0818093265701052,0.082639568944432
