feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_pmol,CD1b_pmol,CD1c_pmol,CD1d_pmol
PC 16:1;0_19:0;0,PC,GPL,MEM,35,1,0,1.64321005344391,0.212918997,4.44156980514526,2.581269979
PC 17:0;0_18:1;0,PC,GPL,MEM,35,1,0,66.7664031982422,5.120269775,128.399002075195,77.11889648
PC 17:1;0_18:0;0,PC,GPL,MEM,35,1,0,5.20288991928101,0.736892998,13.2200002670288,5.575970173
PC 15:0;0_20:2;0,PC,GPL,MEM,35,2,0,0.62642902135849,NA,1.25350999832153,0.698040009
PC 16:0;0_19:2;0,PC,GPL,MEM,35,2,0,0.522834002971649,NA,NA,0.549282014
PC 16:1;0_19:1;0,PC,GPL,MEM,35,2,0,3.28414011001587,0.335280001,6.23412990570068,3.211839914
PC 17:0;0_18:2;0,PC,GPL,MEM,35,2,0,0.917945027351379,0.192166001,1.69307005405426,1.555349946
PC 17:1;0_18:1;0,PC,GPL,MEM,35,2,0,48.9281997680664,4.707019806,64.994499206543,41.8302002
PC 17:1;0_18:2;0,PC,GPL,MEM,35,3,0,1.50792002677917,NA,NA,0.956892014
PC 14:0;0_22:1;0,PC,GPL,MEM,36,1,0,1.5830899477005,NA,1.45026004314423,0.897736013
PC 15:0;0_21:1;0,PC,GPL,MEM,36,1,0,NA,NA,NA,0.358996004
PC 16:0;0_20:1;0,PC,GPL,MEM,36,1,0,22.3598003387451,0.546285987,23.8603000640869,5.958079815
PC 16:1;0_20:0;0,PC,GPL,MEM,36,1,0,3.83136010169983,0.169843003,8.63298034667969,2.554919958
PC 17:0;0_19:1;0,PC,GPL,MEM,36,1,0,0.730530023574829,0.113765001,NA,0.810469985
PC 17:1;0_19:0;0,PC,GPL,MEM,36,1,0,NA,0.044902898,NA,0.280856013
PC 18:0;0_18:1;0,PC,GPL,MEM,36,1,0,164.574005126953,5.860889912,240.197998046875,59.96910095
PC 16:0;0_20:2;0,PC,GPL,MEM,36,2,0,7.76610994338989,0.378096998,7.701819896698,2.467950106
PC 16:1;0_20:1;0,PC,GPL,MEM,36,2,0,29.4902000427246,1.571670055,55.3050003051758,25.94529915
PC 17:1;0_19:1;0,PC,GPL,MEM,36,2,0,NA,NA,NA,0.872916996
PC 18:0;0_18:2;0,PC,GPL,MEM,36,2,0,4.0604100227356,0.26296699,4.89972019195557,1.947260022
PC 18:1;0_18:1;0,PC,GPL,MEM,36,2,0,552.635009765625,31.28820038,623.140014648438,414.7909851
PC 16:0;0_20:3;0,PC,GPL,MEM,36,3,0,2.28115010261536,0.225079998,2.02941989898682,1.43651998
PC 16:1;0_20:2;0,PC,GPL,MEM,36,3,0,1.98459994792938,0.149551004,2.83441996574402,1.991250038
